strategy,n_colluders,fingerprint_length,n_recipients,threshold,hit_rate,hit_rate,false_accusation_rate,false_accusation_rate,recall,recall,total_accusations,total_accusations
,,,,,mean,std,mean,std,mean,std,mean,std
avg,2,64,20,1,0.7666666666666666,0.21081851067789198,0.2333333333333333,0.21081851067789195,1.0,0.0,2.8,0.7888106377466155
avg,2,128,20,1,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0
avg,2,256,20,1,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0
avg,2,512,20,1,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0
avg,2,1024,20,1,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0
avg,3,64,20,1,0.725,0.2223957655694233,0.275,0.2223957655694233,0.7666666666666667,0.2249828525701843,3.2,0.42163702135578385
avg,3,128,20,1,0.8916666666666666,0.14191155304938666,0.10833333333333332,0.14191155304938666,0.8666666666666668,0.17213259316477406,3.0,0.816496580927726
avg,3,256,20,1,0.975,0.07905694150420949,0.025,0.07905694150420949,1.0,0.0,3.1,0.31622776601683794
avg,3,512,20,1,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0
avg,3,1024,20,1,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0
avg,5,64,20,1,0.765,0.191073962797811,0.23499999999999996,0.191073962797811,0.5599999999999999,0.1577621275493231,3.8,1.1352924243950933
avg,5,128,20,1,0.7916666666666667,0.2642541332005618,0.20833333333333334,0.2642541332005618,0.48,0.2699794230842212,3.1,1.3703203194062976
avg,5,256,20,1,0.9550000000000001,0.0955975359979999,0.04499999999999999,0.09559753599799989,0.78,0.17511900715418263,4.1,0.875595035770913
avg,5,512,20,1,0.9833333333333334,0.05270462766947299,0.01666666666666666,0.05270462766947297,0.8200000000000001,0.14757295747452437,4.2,0.9189365834726816
avg,5,1024,20,1,1.0,0.0,0.0,0.0,0.8200000000000001,0.1751190071541826,4.1,0.8755950357709131
avg,10,64,20,1,0.6466666666666667,0.16193277068654824,0.35333333333333333,0.16193277068654827,0.2099999999999999,0.08755950357709136,3.4,1.429840705968481
avg,10,128,20,1,0.8166666666666667,0.24152294576982394,0.18333333333333332,0.24152294576982397,0.2899999999999999,0.11972189997378652,3.6,0.9660917830792958
avg,10,256,20,1,0.8766666666666666,0.16465452046971296,0.12333333333333334,0.16465452046971293,0.32999999999999996,0.06749485577105532,3.8,0.6324555320336758
avg,10,512,20,1,0.95,0.10540925533894596,0.05,0.10540925533894598,0.29999999999999993,0.08164965809277266,3.2,0.9189365834726815
avg,10,1024,20,1,0.975,0.07905694150420949,0.025,0.07905694150420949,0.31999999999999995,0.07888106377466161,3.3,0.8232726023485646
random,2,64,20,1,0.65,0.1657381543352922,0.35,0.1657381543352922,0.9,0.21081851067789198,2.8,0.421637021355784
random,2,128,20,1,0.9,0.16101529717988267,0.1,0.16101529717988264,1.0,0.0,2.3,0.48304589153964794
random,2,256,20,1,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0
random,2,512,20,1,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0
random,2,1024,20,1,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0
random,3,64,20,1,0.6416666666666667,0.22239576556942328,0.35833333333333334,0.22239576556942328,0.6666666666666667,0.2222222222222222,3.2,0.7888106377466155
random,3,128,20,1,0.8333333333333334,0.22222222222222224,0.16666666666666666,0.2222222222222222,0.8333333333333334,0.1756820922315766,3.1,0.5676462121975466
random,3,256,20,1,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0
random,3,512,20,1,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0
random,3,1024,20,1,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0
random,5,64,20,1,0.5983333333333334,0.2998404925750595,0.40166666666666667,0.2998404925750595,0.31999999999999995,0.13984117975602026,3.0,1.1547005383792515
random,5,128,20,1,0.9,0.16101529717988267,0.1,0.16101529717988264,0.62,0.19888578520235062,3.4,0.699205898780101
random,5,256,20,1,0.825,0.19424593041163435,0.175,0.1942459304116343,0.58,0.19888578520235062,3.5,0.7071067811865476
random,5,512,20,1,1.0,0.0,0.0,0.0,0.86,0.1349897115421106,4.3,0.6749485577105528
random,5,1024,20,1,0.9349999999999999,0.10554093465991707,0.06499999999999997,0.10554093465991707,0.76,0.1264911064067352,4.1,0.7378647873726221
random,10,64,20,1,0.6016666666666667,0.2986027130602024,0.3983333333333333,0.2986027130602024,0.2099999999999999,0.11005049346146122,3.8,1.5491933384829668
random,10,128,20,1,0.725,0.3311269571152356,0.275,0.3311269571152356,0.22999999999999993,0.11595018087284059,3.0,1.0540925533894598
random,10,256,20,1,0.7216666666666667,0.3525961912359152,0.2783333333333333,0.3525961912359152,0.26999999999999996,0.1337493509849259,3.6,1.2649110640673518
random,10,512,20,1,0.875,0.16315750172876015,0.125,0.16315750172876015,0.27999999999999997,0.06324555320336764,3.2,0.42163702135578396
random,10,1024,20,1,0.8933333333333333,0.17270541535755954,0.10666666666666666,0.17270541535755954,0.2699999999999999,0.08232726023485652,3.1,0.9944289260117533
random_flip,2,64,20,1,0.7,0.17213259316477408,0.3,0.17213259316477406,0.9,0.21081851067789195,2.7,0.8232726023485646
random_flip,2,128,20,1,0.9666666666666666,0.105409255338946,0.03333333333333333,0.10540925533894598,1.0,0.0,2.1,0.31622776601683805
random_flip,2,256,20,1,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0
random_flip,2,512,20,1,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0
random_flip,2,1024,20,1,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0
random_flip,3,64,20,1,0.5583333333333333,0.2665798469780017,0.4416666666666667,0.26657984697800174,0.5666666666666667,0.2744242007828549,2.9,0.9944289260117533
random_flip,3,128,20,1,0.8483333333333333,0.21465591185389507,0.15166666666666667,0.21465591185389502,0.9,0.1610152971798826,3.3,0.6749485577105528
random_flip,3,256,20,1,0.95,0.10540925533894599,0.05,0.10540925533894599,1.0,0.0,3.2,0.42163702135578396
random_flip,3,512,20,1,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0
random_flip,3,1024,20,1,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0
random_flip,5,64,20,1,0.5233333333333333,0.2615480976941094,0.4766666666666667,0.2615480976941094,0.36,0.15776212754932312,3.6,1.1737877907772674
random_flip,5,128,20,1,0.8166666666666667,0.17480147469502527,0.18333333333333332,0.17480147469502524,0.58,0.1751190071541826,3.6,0.8432740427115678
random_flip,5,256,20,1,0.9333333333333333,0.10971343143406388,0.06666666666666667,0.10971343143406388,0.6799999999999999,0.1686548085423136,3.7,1.0593499054713802
random_flip,5,512,20,1,0.9800000000000001,0.06324555320336758,0.01999999999999999,0.06324555320336755,0.76,0.12649110640673522,3.9,0.737864787372622
random_flip,5,1024,20,1,0.9383333333333332,0.10124228365658292,0.06166666666666665,0.10124228365658292,0.72,0.13984117975602023,3.9,0.9944289260117531
random_flip,10,64,20,1,0.6383333333333333,0.24596120340461608,0.3616666666666667,0.24596120340461608,0.19999999999999993,0.10540925533894602,3.1,0.9944289260117533
random_flip,10,128,20,1,0.705,0.24445075749423678,0.29500000000000004,0.24445075749423684,0.21999999999999992,0.11352924243950939,3.1,1.1005049346146119
random_flip,10,256,20,1,0.8016666666666667,0.2506103660177598,0.19833333333333333,0.2506103660177598,0.25999999999999995,0.06992058987801014,3.4,0.8432740427115678
random_flip,10,512,20,1,0.9,0.16101529717988267,0.1,0.16101529717988264,0.24999999999999994,0.052704627669473036,2.8,0.42163702135578396
random_flip,10,1024,20,1,0.8683333333333334,0.1736411085195589,0.13166666666666665,0.1736411085195589,0.30999999999999994,0.07378647873726223,3.6,0.699205898780101
