gamma,k,fingerprint_length,n_recipients,sk,n_colluders,strategy,threshold,embedding_ratio,colluders,accusation_scores,total_accusations,hit_abs,hit_rate,false_accusation_abs,false_accusation_rate,recall
32,300,64,20,100,2,avg,1,0.03125,[ 5 17],"[22.87385696 21.4875626  19.40812106 17.32867951 19.40812106 32.57791749
 23.56700414 18.02182669 22.18070978 21.4875626  19.40812106 18.71497388
 19.40812106 20.79441542 18.71497388 23.56700414 23.56700414 32.57791749
 18.02182669 22.18070978]",2,2,1.0,0,0.0,1.0
32,300,64,20,100,2,avg,1,0.03125,[4 9],"[22.18070978 25.64644568 20.79441542 16.63553233 32.57791749 20.79441542
 18.02182669 23.56700414 23.56700414 33.96421185 20.79441542 26.33959286
 20.10126824 18.02182669 21.4875626  23.56700414 23.56700414 18.71497388
 22.18070978 22.87385696]",2,2,1.0,0,0.0,1.0
32,300,64,20,100,2,avg,1,0.03125,[11 12],"[19.40812106 21.4875626  19.40812106 18.71497388 22.87385696 22.18070978
 20.79441542 18.02182669 18.71497388 23.56700414 20.79441542 32.57791749
 32.57791749 18.71497388 22.18070978 23.56700414 23.56700414 20.79441542
 15.94238515 20.10126824]",2,2,1.0,0,0.0,1.0
32,300,64,20,100,2,avg,1,0.03125,[15 11],"[20.10126824 27.03274004 20.79441542 13.86294361 24.26015132 20.10126824
 18.02182669 20.10126824 22.18070978 23.56700414 22.18070978 26.33959286
 21.4875626  18.02182669 18.02182669 33.27106467 22.18070978 20.10126824
 19.40812106 23.56700414]",3,2,0.6666666666666666,1,0.33333333333333337,1.0
32,300,64,20,100,2,avg,1,0.03125,[14  1],"[21.4875626  32.57791749 24.9532985  13.16979643 20.79441542 18.02182669
 16.63553233 21.4875626  22.87385696 24.9532985  24.26015132 19.40812106
 19.40812106 20.10126824 29.80532876 24.26015132 27.72588722 18.02182669
 17.32867951 21.4875626 ]",3,2,0.6666666666666666,1,0.33333333333333337,1.0
32,300,64,20,100,2,avg,1,0.03125,[11  3],"[22.18070978 22.87385696 20.10126824 27.72588722 24.9532985  21.4875626
 21.4875626  15.24923797 16.63553233 26.33959286 19.40812106 35.35050621
 22.87385696 16.63553233 20.79441542 20.10126824 22.18070978 16.63553233
 20.10126824 19.40812106]",3,2,0.6666666666666666,1,0.33333333333333337,1.0
32,300,64,20,100,2,avg,1,0.03125,[12 11],"[19.40812106 21.4875626  19.40812106 18.71497388 22.87385696 22.18070978
 20.79441542 18.02182669 18.71497388 23.56700414 20.79441542 32.57791749
 32.57791749 18.71497388 22.18070978 23.56700414 23.56700414 20.79441542
 15.94238515 20.10126824]",2,2,1.0,0,0.0,1.0
32,300,64,20,100,2,avg,1,0.03125,[6 7],"[22.18070978 24.26015132 22.87385696 14.55609079 21.4875626  20.10126824
 29.80532876 33.96421185 24.9532985  22.87385696 23.56700414 18.02182669
 16.63553233 23.56700414 17.32867951 24.26015132 19.40812106 18.02182669
 18.71497388 22.18070978]",2,2,1.0,0,0.0,1.0
32,300,64,20,100,2,avg,1,0.03125,[1 3],"[19.40812106 38.12309493 22.18070978 24.26015132 24.26015132 18.71497388
 20.10126824 19.40812106 21.4875626  25.64644568 27.03274004 20.10126824
 18.02182669 21.4875626  18.71497388 25.64644568 22.18070978 17.32867951
 21.4875626  22.18070978]",2,1,0.5,1,0.5,0.5
32,300,64,20,100,2,avg,1,0.03125,[3 6],"[23.56700414 22.18070978 20.79441542 33.27106467 22.87385696 25.64644568
 37.42994775 17.32867951 19.40812106 22.87385696 19.40812106 20.79441542
 22.18070978 19.40812106 18.02182669 25.64644568 20.10126824 26.33959286
 18.71497388 23.56700414]",2,2,1.0,0,0.0,1.0
32,300,64,20,100,2,random,1,0.03125,[ 9 18],"[20.79441542 24.26015132 22.18070978 20.10126824 18.71497388 20.79441542
 19.40812106 21.4875626  20.79441542 31.88477031 16.63553233 19.40812106
 16.63553233 19.40812106 19.40812106 19.40812106 20.10126824 21.4875626
 31.19162313 18.02182669]",2,2,1.0,0,0.0,1.0
32,300,64,20,100,2,random,1,0.03125,[ 4 14],"[19.40812106 22.18070978 24.9532985  25.64644568 31.88477031 22.18070978
 21.4875626  22.18070978 22.87385696 22.18070978 21.4875626  22.18070978
 22.87385696 15.94238515 31.88477031 20.10126824 20.79441542 14.55609079
 20.10126824 21.4875626 ]",2,2,1.0,0,0.0,1.0
32,300,64,20,100,2,random,1,0.03125,[12  6],"[24.26015132 24.9532985  23.56700414 25.64644568 21.4875626  23.56700414
 33.96421185 20.79441542 22.87385696 22.18070978 20.79441542 19.40812106
 29.11218158 16.63553233 19.40812106 21.4875626  15.24923797 17.32867951
 19.40812106 20.79441542]",2,2,1.0,0,0.0,1.0
32,300,64,20,100,2,random,1,0.03125,[11  2],"[19.40812106 22.87385696 31.88477031 23.56700414 21.4875626  23.56700414
 22.18070978 22.87385696 22.87385696 24.26015132 21.4875626  30.49847594
 20.10126824 17.32867951 19.40812106 22.87385696 22.18070978 15.24923797
 18.71497388 22.18070978]",2,2,1.0,0,0.0,1.0
32,300,64,20,100,2,random,1,0.03125,[8 7],"[18.71497388 22.18070978 19.40812106 16.63553233 24.9532985  18.02182669
 20.79441542 31.19162313 32.57791749 21.4875626  23.56700414 18.71497388
 18.71497388 21.4875626  14.55609079 18.02182669 19.40812106 16.63553233
 15.24923797 22.18070978]",2,2,1.0,0,0.0,1.0
32,300,64,20,100,2,random,1,0.03125,[14 16],"[24.26015132 23.56700414 22.87385696 19.40812106 20.79441542 20.10126824
 19.40812106 19.40812106 20.10126824 18.71497388 22.18070978 21.4875626
 18.71497388 16.63553233 27.72588722 16.63553233 32.57791749 15.94238515
 17.32867951 24.26015132]",2,2,1.0,0,0.0,1.0
32,300,64,20,100,2,random,1,0.03125,[ 7 19],"[21.4875626  26.33959286 26.33959286 20.79441542 21.4875626  22.87385696
 24.9532985  30.49847594 24.9532985  20.79441542 27.03274004 17.32867951
 18.71497388 18.71497388 19.40812106 22.18070978 23.56700414 18.71497388
 14.55609079 32.57791749]",3,2,0.6666666666666666,1,0.33333333333333337,1.0
32,300,64,20,100,2,random,1,0.03125,[ 2 11],"[20.10126824 24.26015132 31.88477031 22.87385696 19.40812106 22.87385696
 19.40812106 21.4875626  22.18070978 22.87385696 20.79441542 29.80532876
 18.71497388 15.94238515 24.26015132 18.02182669 22.87385696 13.16979643
 21.4875626  23.56700414]",2,2,1.0,0,0.0,1.0
32,300,64,20,100,2,random,1,0.03125,[17  6],"[24.26015132 20.79441542 18.71497388 21.4875626  17.32867951 27.03274004
 35.35050621 19.40812106 21.4875626  22.18070978 19.40812106 15.94238515
 15.94238515 20.79441542 17.32867951 22.87385696 20.10126824 30.49847594
 17.32867951 24.9532985 ]",3,2,0.6666666666666666,1,0.33333333333333337,1.0
32,300,64,20,100,2,random,1,0.03125,[14  9],"[27.03274004 25.64644568 23.56700414 20.79441542 22.18070978 18.02182669
 23.56700414 22.87385696 22.18070978 34.65735903 18.02182669 19.40812106
 22.87385696 18.02182669 29.11218158 19.40812106 22.18070978 20.10126824
 22.87385696 21.4875626 ]",3,2,0.6666666666666666,1,0.33333333333333337,1.0
32,300,64,20,100,2,random_flip,1,0.03125,[13 16],"[16.63553233 24.26015132 21.4875626  20.10126824 18.71497388 22.18070978
 23.56700414 21.4875626  20.79441542 15.24923797 23.56700414 16.63553233
 18.02182669 29.11218158 16.63553233 20.10126824 31.19162313 18.71497388
 15.94238515 23.56700414]",2,2,1.0,0,0.0,1.0
32,300,64,20,100,2,random_flip,1,0.03125,[2 1],"[21.4875626  33.96421185 33.96421185 21.4875626  24.26015132 18.02182669
 22.18070978 22.87385696 23.56700414 21.4875626  24.26015132 20.10126824
 22.18070978 20.79441542 23.56700414 24.9532985  25.64644568 15.94238515
 16.63553233 24.26015132]",2,2,1.0,0,0.0,1.0
32,300,64,20,100,2,random_flip,1,0.03125,[ 2 19],"[22.18070978 22.87385696 33.27106467 21.4875626  20.10126824 20.79441542
 22.18070978 24.26015132 23.56700414 18.02182669 24.26015132 18.71497388
 20.79441542 22.18070978 22.18070978 21.4875626  19.40812106 15.94238515
 19.40812106 31.19162313]",2,2,1.0,0,0.0,1.0
32,300,64,20,100,2,random_flip,1,0.03125,[18 13],"[22.87385696 17.32867951 24.9532985  20.10126824 17.32867951 22.18070978
 22.18070978 22.18070978 20.10126824 18.71497388 20.79441542 19.40812106
 18.02182669 29.11218158 18.02182669 20.79441542 12.47664925 18.02182669
 33.27106467 18.02182669]",2,2,1.0,0,0.0,1.0
32,300,64,20,100,2,random_flip,1,0.03125,[1 7],"[18.02182669 32.57791749 22.18070978 13.86294361 22.87385696 20.10126824
 17.32867951 27.72588722 23.56700414 22.87385696 26.33959286 20.79441542
 18.02182669 19.40812106 20.10126824 20.10126824 26.33959286 14.55609079
 21.4875626  21.4875626 ]",4,2,0.5,2,0.5,1.0
32,300,64,20,100,2,random_flip,1,0.03125,[ 9 15],"[19.40812106 23.56700414 19.40812106 25.64644568 21.4875626  20.79441542
 25.64644568 20.10126824 20.10126824 33.96421185 18.71497388 21.4875626
 21.4875626  18.71497388 16.63553233 29.11218158 18.71497388 26.33959286
 22.18070978 21.4875626 ]",3,2,0.6666666666666666,1,0.33333333333333337,1.0
32,300,64,20,100,2,random_flip,1,0.03125,[ 4 10],"[20.10126824 24.26015132 23.56700414 20.79441542 33.27106467 17.32867951
 18.71497388 22.87385696 27.03274004 17.32867951 27.72588722 24.26015132
 18.71497388 17.32867951 16.63553233 23.56700414 19.40812106 14.55609079
 18.02182669 18.71497388]",3,2,0.6666666666666666,1,0.33333333333333337,1.0
32,300,64,20,100,2,random_flip,1,0.03125,[6 1],"[24.26015132 29.80532876 24.9532985  21.4875626  20.10126824 23.56700414
 35.35050621 20.10126824 22.87385696 18.71497388 27.03274004 18.71497388
 19.40812106 22.18070978 17.32867951 29.80532876 19.40812106 20.10126824
 21.4875626  26.33959286]",3,2,0.6666666666666666,1,0.33333333333333337,1.0
32,300,64,20,100,2,random_flip,1,0.03125,[ 1 18],"[21.4875626  31.19162313 21.4875626  20.10126824 19.40812106 17.32867951
 21.4875626  15.24923797 18.71497388 21.4875626  20.79441542 18.71497388
 17.32867951 17.32867951 20.10126824 20.79441542 19.40812106 15.94238515
 27.72588722 22.87385696]",2,2,1.0,0,0.0,1.0
32,300,64,20,100,2,random_flip,1,0.03125,[ 6 17],"[21.4875626  20.10126824 20.10126824 24.26015132 16.63553233 21.4875626
 36.04365339 18.71497388 19.40812106 18.71497388 20.10126824 18.71497388
 19.40812106 18.02182669 16.63553233 19.40812106 18.71497388 28.4190344
 14.55609079 22.18070978]",2,2,1.0,0,0.0,1.0
32,300,64,20,100,3,avg,1,0.03125,[13 10 17],"[22.18070978 24.9532985  18.71497388 16.63553233 18.71497388 21.4875626
 20.10126824 19.40812106 22.18070978 20.79441542 26.33959286 18.02182669
 17.32867951 29.80532876 17.32867951 24.9532985  24.26015132 32.57791749
 18.02182669 22.87385696]",3,3,1.0,0,0.0,1.0
32,300,64,20,100,3,avg,1,0.03125,[ 1 19 10],"[20.10126824 29.80532876 18.02182669 13.86294361 21.4875626  18.71497388
 15.94238515 20.10126824 19.40812106 17.32867951 30.49847594 20.79441542
 20.10126824 18.71497388 18.71497388 24.26015132 24.26015132 17.32867951
 16.63553233 27.72588722]",3,3,1.0,0,0.0,1.0
32,300,64,20,100,3,avg,1,0.03125,[12 18 17],"[21.4875626  17.32867951 17.32867951 15.94238515 18.71497388 19.40812106
 17.32867951 16.63553233 18.02182669 20.79441542 19.40812106 16.63553233
 28.4190344  22.18070978 18.71497388 23.56700414 18.02182669 27.72588722
 24.26015132 18.71497388]",4,3,0.75,1,0.25,1.0
32,300,64,20,100,3,avg,1,0.03125,[ 3 15 10],"[16.63553233 28.4190344  18.02182669 22.18070978 20.79441542 20.10126824
 19.40812106 18.02182669 21.4875626  16.63553233 29.11218158 20.79441542
 18.02182669 18.71497388 14.55609079 31.19162313 22.18070978 20.10126824
 18.71497388 21.4875626 ]",3,2,0.6666666666666666,1,0.33333333333333337,0.6666666666666667
32,300,64,20,100,3,avg,1,0.03125,[15  7  9],"[18.71497388 24.26015132 21.4875626  14.55609079 24.9532985  21.4875626
 18.02182669 31.19162313 22.18070978 31.19162313 22.18070978 21.4875626
 21.4875626  20.79441542 18.02182669 27.72588722 18.71497388 22.87385696
 18.71497388 22.18070978]",3,3,1.0,0,0.0,1.0
32,300,64,20,100,3,avg,1,0.03125,[10  0  2],"[26.33959286 26.33959286 27.03274004 13.16979643 19.40812106 21.4875626
 18.71497388 23.56700414 20.10126824 21.4875626  27.72588722 22.18070978
 18.71497388 22.18070978 20.79441542 20.10126824 22.18070978 18.02182669
 20.10126824 22.87385696]",4,3,0.75,1,0.25,1.0
32,300,64,20,100,3,avg,1,0.03125,[11  1 12],"[17.32867951 26.33959286 16.63553233 14.55609079 23.56700414 18.71497388
 15.24923797 18.71497388 19.40812106 21.4875626  24.26015132 27.72588722
 27.03274004 18.71497388 19.40812106 23.56700414 24.9532985  17.32867951
 18.71497388 18.02182669]",4,3,0.75,1,0.25,1.0
32,300,64,20,100,3,avg,1,0.03125,[18 10 17],"[20.79441542 24.26015132 17.32867951 14.55609079 21.4875626  22.87385696
 16.63553233 19.40812106 20.10126824 20.10126824 29.11218158 22.87385696
 17.32867951 23.56700414 18.71497388 23.56700414 21.4875626  25.64644568
 24.26015132 18.71497388]",2,2,1.0,0,0.0,0.6666666666666667
32,300,64,20,100,3,avg,1,0.03125,[ 9 18  2],"[19.40812106 24.26015132 26.33959286 15.24923797 24.26015132 21.4875626
 14.55609079 20.79441542 20.79441542 25.64644568 20.79441542 20.10126824
 18.71497388 22.18070978 19.40812106 23.56700414 18.71497388 16.63553233
 25.64644568 18.71497388]",5,3,0.6,2,0.4,1.0
32,300,64,20,100,3,avg,1,0.03125,[11 14  5],"[22.18070978 20.79441542 20.10126824 15.94238515 24.9532985  27.72588722
 16.63553233 18.71497388 20.10126824 24.26015132 22.18070978 27.72588722
 24.9532985  17.32867951 29.11218158 18.02182669 23.56700414 20.10126824
 19.40812106 20.10126824]",3,3,1.0,0,0.0,1.0
32,300,64,20,100,3,random,1,0.03125,[9 8 6],"[21.4875626  20.10126824 24.9532985  20.10126824 20.10126824 20.10126824
 27.03274004 24.26015132 24.26015132 19.40812106 18.02182669 16.63553233
 18.02182669 21.4875626  21.4875626  18.71497388 18.02182669 20.79441542
 18.71497388 23.56700414]",5,2,0.4,3,0.6,0.6666666666666667
32,300,64,20,100,3,random,1,0.03125,[14  0  8],"[24.26015132 22.87385696 25.64644568 19.40812106 21.4875626  18.02182669
 19.40812106 22.18070978 23.56700414 18.71497388 20.10126824 21.4875626
 24.9532985  15.24923797 24.26015132 15.94238515 21.4875626  13.86294361
 18.71497388 18.71497388]",4,2,0.5,2,0.5,0.6666666666666667
32,300,64,20,100,3,random,1,0.03125,[ 1  6 10],"[20.79441542 30.49847594 21.4875626  20.79441542 23.56700414 15.94238515
 27.03274004 21.4875626  20.10126824 18.71497388 29.80532876 18.02182669
 20.79441542 18.71497388 15.94238515 24.26015132 18.71497388 15.94238515
 19.40812106 20.10126824]",3,3,1.0,0,0.0,1.0
32,300,64,20,100,3,random,1,0.03125,[ 9 17 10],"[22.18070978 23.56700414 20.10126824 20.79441542 21.4875626  21.4875626
 22.18070978 22.18070978 21.4875626  28.4190344  23.56700414 21.4875626
 15.94238515 16.63553233 21.4875626  18.02182669 22.18070978 23.56700414
 22.18070978 22.18070978]",1,1,1.0,0,0.0,0.33333333333333337
32,300,64,20,100,3,random,1,0.03125,[12  8  4],"[18.71497388 15.94238515 18.71497388 16.63553233 25.64644568 17.32867951
 17.32867951 22.18070978 23.56700414 20.79441542 13.16979643 20.10126824
 28.4190344  15.24923797 21.4875626  19.40812106 18.02182669 20.79441542
 17.32867951 21.4875626 ]",3,3,1.0,0,0.0,1.0
32,300,64,20,100,3,random,1,0.03125,[ 5  3 12],"[19.40812106 16.63553233 17.32867951 23.56700414 24.26015132 27.72588722
 20.10126824 17.32867951 20.79441542 18.02182669 17.32867951 17.32867951
 24.9532985  14.55609079 20.79441542 18.71497388 15.24923797 17.32867951
 18.02182669 20.79441542]",4,3,0.75,1,0.25,1.0
32,300,64,20,100,3,random,1,0.03125,[12 13 11],"[20.10126824 21.4875626  23.56700414 18.71497388 19.40812106 20.79441542
 24.26015132 24.26015132 19.40812106 18.02182669 22.87385696 27.72588722
 24.9532985  18.71497388 18.71497388 18.71497388 25.64644568 17.32867951
 18.71497388 22.18070978]",5,2,0.4,3,0.6,0.6666666666666667
32,300,64,20,100,3,random,1,0.03125,[ 3 14 16],"[18.02182669 24.26015132 22.87385696 25.64644568 24.9532985  22.18070978
 18.02182669 21.4875626  20.79441542 19.40812106 20.10126824 21.4875626
 24.26015132 18.02182669 22.87385696 18.71497388 21.4875626  11.09035489
 17.32867951 21.4875626 ]",4,1,0.25,3,0.75,0.33333333333333337
32,300,64,20,100,3,random,1,0.03125,[ 6  2 13],"[22.18070978 24.26015132 28.4190344  20.10126824 20.79441542 24.9532985
 30.49847594 25.64644568 22.18070978 19.40812106 21.4875626  22.18070978
 22.87385696 18.71497388 21.4875626  21.4875626  18.71497388 18.02182669
 19.40812106 25.64644568]",2,2,1.0,0,0.0,0.6666666666666667
32,300,64,20,100,3,random,1,0.03125,[10  4 14],"[19.40812106 22.18070978 21.4875626  18.02182669 24.9532985  15.24923797
 20.10126824 23.56700414 22.87385696 18.71497388 23.56700414 20.10126824
 20.10126824 13.86294361 25.64644568 16.63553233 17.32867951 11.78350207
 19.40812106 19.40812106]",4,3,0.75,1,0.25,1.0
32,300,64,20,100,3,random_flip,1,0.03125,[19 17  9],"[18.71497388 18.71497388 19.40812106 19.40812106 22.18070978 22.18070978
 22.18070978 20.10126824 20.10126824 20.79441542 15.94238515 17.32867951
 15.94238515 14.55609079 19.40812106 22.87385696 14.55609079 18.02182669
 19.40812106 24.9532985 ]",5,1,0.2,4,0.8,0.33333333333333337
32,300,64,20,100,3,random_flip,1,0.03125,[11 10 15],"[24.26015132 24.9532985  20.10126824 21.4875626  21.4875626  19.40812106
 20.10126824 22.18070978 20.10126824 23.56700414 29.80532876 27.72588722
 22.18070978 13.86294361 13.16979643 22.18070978 13.86294361 17.32867951
 19.40812106 20.79441542]",2,2,1.0,0,0.0,0.6666666666666667
32,300,64,20,100,3,random_flip,1,0.03125,[3 7 0],"[24.9532985  21.4875626  23.56700414 29.80532876 21.4875626  20.10126824
 24.9532985  23.56700414 22.18070978 22.87385696 20.79441542 22.18070978
 22.18070978 16.63553233 20.79441542 19.40812106 19.40812106 15.94238515
 23.56700414 21.4875626 ]",3,2,0.6666666666666666,1,0.33333333333333337,0.6666666666666667
32,300,64,20,100,3,random_flip,1,0.03125,[11 17 16],"[24.9532985  19.40812106 18.02182669 21.4875626  16.63553233 22.87385696
 20.79441542 20.10126824 18.02182669 22.87385696 20.10126824 23.56700414
 18.71497388 15.24923797 15.94238515 13.86294361 24.9532985  24.26015132
 17.32867951 19.40812106]",4,3,0.75,1,0.25,1.0
32,300,64,20,100,3,random_flip,1,0.03125,[10 16 13],"[15.24923797 27.03274004 22.87385696 20.79441542 21.4875626  21.4875626
 21.4875626  23.56700414 20.10126824 18.02182669 26.33959286 20.79441542
 17.32867951 27.03274004 19.40812106 18.71497388 25.64644568 18.02182669
 19.40812106 22.87385696]",4,3,0.75,1,0.25,1.0
32,300,64,20,100,3,random_flip,1,0.03125,[ 4 14  9],"[21.4875626  23.56700414 19.40812106 22.87385696 23.56700414 19.40812106
 19.40812106 18.71497388 18.71497388 27.03274004 22.18070978 20.79441542
 25.64644568 14.55609079 26.33959286 17.32867951 24.26015132 17.32867951
 16.63553233 20.79441542]",3,2,0.6666666666666666,1,0.33333333333333337,0.6666666666666667
32,300,64,20,100,3,random_flip,1,0.03125,[ 2 18  1],"[20.79441542 23.56700414 24.26015132 18.71497388 22.87385696 20.79441542
 25.64644568 22.87385696 25.64644568 20.10126824 20.79441542 19.40812106
 18.71497388 16.63553233 20.79441542 21.4875626  18.02182669 15.24923797
 23.56700414 20.79441542]",3,1,0.3333333333333333,2,0.6666666666666667,0.33333333333333337
32,300,64,20,100,3,random_flip,1,0.03125,[18  2  6],"[19.40812106 24.9532985  28.4190344  17.32867951 16.63553233 22.87385696
 26.33959286 23.56700414 23.56700414 16.63553233 20.79441542 15.24923797
 15.94238515 18.71497388 19.40812106 22.18070978 20.10126824 17.32867951
 18.02182669 25.64644568]",4,2,0.5,2,0.5,0.6666666666666667
32,300,64,20,100,3,random_flip,1,0.03125,[ 9 11  6],"[20.79441542 21.4875626  19.40812106 18.02182669 16.63553233 18.71497388
 29.11218158 20.79441542 20.79441542 22.87385696 21.4875626  24.26015132
 13.86294361 15.24923797 16.63553233 19.40812106 18.02182669 20.10126824
 20.79441542 21.4875626 ]",2,2,1.0,0,0.0,0.6666666666666667
32,300,64,20,100,3,random_flip,1,0.03125,[19  5  1],"[24.9532985  27.03274004 25.64644568 19.40812106 20.79441542 25.64644568
 22.87385696 24.26015132 21.4875626  20.79441542 22.87385696 17.32867951
 19.40812106 16.63553233 20.10126824 22.18070978 22.87385696 18.02182669
 18.02182669 29.80532876]",4,3,0.75,1,0.25,1.0
32,300,64,20,100,5,avg,1,0.03125,[15  4  2 11  0],"[24.9532985  26.33959286 23.56700414 12.47664925 25.64644568 20.79441542
 16.63553233 17.32867951 22.18070978 20.10126824 20.79441542 23.56700414
 20.10126824 20.10126824 20.10126824 27.03274004 23.56700414 18.02182669
 19.40812106 23.56700414]",4,3,0.75,1,0.25,0.6
