gamma,k,fingerprint_length,n_recipients,sk,vote_error,tp,tn
32,300,64,20,100,0.022727272727272728,1.0,0.5
32,300,64,20,100,0.022727272727272728,1.0,0.5
32,300,64,20,100,0.022727272727272728,1.0,0.546875
32,300,64,20,100,0.022727272727272728,1.0,0.5
32,300,64,20,100,0.022727272727272728,1.0,0.546875
32,300,64,20,100,0.022727272727272728,1.0,0.5625
32,300,64,20,100,0.022727272727272728,1.0,0.4375
32,300,64,20,100,0.022727272727272728,1.0,0.4375
32,300,64,20,100,0.022727272727272728,1.0,0.53125
32,300,64,20,100,0.022727272727272728,1.0,0.46875
32,300,64,20,100,0.022727272727272728,1.0,0.515625
32,300,64,20,100,0.022727272727272728,1.0,0.515625
32,300,64,20,100,0.022727272727272728,1.0,0.40625
32,300,64,20,100,0.022727272727272728,1.0,0.515625
32,300,64,20,100,0.022727272727272728,1.0,0.390625
32,300,64,20,100,0.022727272727272728,1.0,0.546875
32,300,64,20,100,0.022727272727272728,1.0,0.53125
32,300,64,20,100,0.022727272727272728,1.0,0.578125
32,300,64,20,100,0.022727272727272728,1.0,0.59375
32,300,64,20,101,0.018258426966292134,1.0,0.375
32,300,64,20,101,0.018258426966292134,1.0,0.5
32,300,64,20,101,0.018258426966292134,1.0,0.421875
32,300,64,20,101,0.018258426966292134,1.0,0.453125
32,300,64,20,101,0.018258426966292134,1.0,0.5
32,300,64,20,101,0.018258426966292134,1.0,0.578125
32,300,64,20,101,0.018258426966292134,1.0,0.640625
32,300,64,20,101,0.018258426966292134,1.0,0.53125
32,300,64,20,101,0.018258426966292134,1.0,0.4375
32,300,64,20,101,0.018258426966292134,1.0,0.421875
32,300,64,20,101,0.018258426966292134,1.0,0.421875
32,300,64,20,101,0.018258426966292134,1.0,0.53125
32,300,64,20,101,0.018258426966292134,1.0,0.515625
32,300,64,20,101,0.018258426966292134,1.0,0.421875
32,300,64,20,101,0.018258426966292134,1.0,0.5
32,300,64,20,101,0.018258426966292134,1.0,0.53125
32,300,64,20,101,0.018258426966292134,1.0,0.4375
32,300,64,20,101,0.018258426966292134,1.0,0.4375
32,300,64,20,101,0.018258426966292134,1.0,0.484375
32,300,64,20,102,0.020333468889792598,1.0,0.5
32,300,64,20,102,0.020333468889792598,1.0,0.46875
32,300,64,20,102,0.020333468889792598,1.0,0.53125
32,300,64,20,102,0.020333468889792598,1.0,0.4375
32,300,64,20,102,0.020333468889792598,1.0,0.515625
32,300,64,20,102,0.020333468889792598,1.0,0.546875
32,300,64,20,102,0.020333468889792598,1.0,0.578125
32,300,64,20,102,0.020333468889792598,1.0,0.453125
32,300,64,20,102,0.020333468889792598,1.0,0.53125
32,300,64,20,102,0.020333468889792598,1.0,0.484375
32,300,64,20,102,0.020333468889792598,1.0,0.34375
32,300,64,20,102,0.020333468889792598,1.0,0.484375
32,300,64,20,102,0.020333468889792598,1.0,0.375
32,300,64,20,102,0.020333468889792598,1.0,0.53125
32,300,64,20,102,0.020333468889792598,1.0,0.609375
32,300,64,20,102,0.020333468889792598,1.0,0.546875
32,300,64,20,102,0.020333468889792598,1.0,0.5
32,300,64,20,102,0.020333468889792598,1.0,0.59375
32,300,64,20,102,0.020333468889792598,1.0,0.546875
32,300,64,20,103,0.020697167755991286,1.0,0.53125
32,300,64,20,103,0.020697167755991286,1.0,0.546875
32,300,64,20,103,0.020697167755991286,1.0,0.546875
32,300,64,20,103,0.020697167755991286,1.0,0.5
32,300,64,20,103,0.020697167755991286,1.0,0.484375
32,300,64,20,103,0.020697167755991286,1.0,0.5
32,300,64,20,103,0.020697167755991286,1.0,0.515625
32,300,64,20,103,0.020697167755991286,1.0,0.546875
32,300,64,20,103,0.020697167755991286,1.0,0.625
32,300,64,20,103,0.020697167755991286,1.0,0.46875
32,300,64,20,103,0.020697167755991286,1.0,0.53125
32,300,64,20,103,0.020697167755991286,1.0,0.578125
32,300,64,20,103,0.020697167755991286,1.0,0.375
32,300,64,20,103,0.020697167755991286,1.0,0.5625
32,300,64,20,103,0.020697167755991286,1.0,0.578125
32,300,64,20,103,0.020697167755991286,1.0,0.46875
32,300,64,20,103,0.020697167755991286,1.0,0.609375
32,300,64,20,103,0.020697167755991286,1.0,0.515625
32,300,64,20,103,0.020697167755991286,1.0,0.46875
32,300,64,20,104,0.02054794520547945,1.0,0.5625
32,300,64,20,104,0.02054794520547945,1.0,0.578125
32,300,64,20,104,0.02054794520547945,1.0,0.53125
32,300,64,20,104,0.02054794520547945,1.0,0.40625
32,300,64,20,104,0.02054794520547945,1.0,0.421875
32,300,64,20,104,0.02054794520547945,1.0,0.5
32,300,64,20,104,0.02054794520547945,1.0,0.5
32,300,64,20,104,0.02054794520547945,1.0,0.53125
32,300,64,20,104,0.02054794520547945,1.0,0.375
32,300,64,20,104,0.02054794520547945,1.0,0.484375
32,300,64,20,104,0.02054794520547945,1.0,0.5
32,300,64,20,104,0.02054794520547945,1.0,0.484375
32,300,64,20,104,0.02054794520547945,1.0,0.453125
32,300,64,20,104,0.02054794520547945,1.0,0.5625
32,300,64,20,104,0.02054794520547945,1.0,0.59375
32,300,64,20,104,0.02054794520547945,1.0,0.578125
32,300,64,20,104,0.02054794520547945,1.0,0.5625
32,300,64,20,104,0.02054794520547945,1.0,0.53125
32,300,64,20,104,0.02054794520547945,1.0,0.4375
32,300,64,20,105,0.021897810218978103,1.0,0.53125
32,300,64,20,105,0.021897810218978103,1.0,0.46875
32,300,64,20,105,0.021897810218978103,1.0,0.5
32,300,64,20,105,0.021897810218978103,1.0,0.515625
32,300,64,20,105,0.021897810218978103,1.0,0.4375
32,300,64,20,105,0.021897810218978103,1.0,0.515625
32,300,64,20,105,0.021897810218978103,1.0,0.515625
32,300,64,20,105,0.021897810218978103,1.0,0.546875
32,300,64,20,105,0.021897810218978103,1.0,0.53125
32,300,64,20,105,0.021897810218978103,1.0,0.5
32,300,64,20,105,0.021897810218978103,1.0,0.453125
32,300,64,20,105,0.021897810218978103,1.0,0.453125
32,300,64,20,105,0.021897810218978103,1.0,0.53125
32,300,64,20,105,0.021897810218978103,1.0,0.59375
32,300,64,20,105,0.021897810218978103,1.0,0.40625
32,300,64,20,105,0.021897810218978103,1.0,0.453125
32,300,64,20,105,0.021897810218978103,1.0,0.515625
32,300,64,20,105,0.021897810218978103,1.0,0.421875
32,300,64,20,105,0.021897810218978103,1.0,0.453125
32,300,64,20,106,0.019584802193497845,1.0,0.546875
32,300,64,20,106,0.019584802193497845,1.0,0.421875
32,300,64,20,106,0.019584802193497845,1.0,0.609375
32,300,64,20,106,0.019584802193497845,1.0,0.453125
32,300,64,20,106,0.019584802193497845,1.0,0.578125
32,300,64,20,106,0.019584802193497845,1.0,0.46875
32,300,64,20,106,0.019584802193497845,1.0,0.515625
32,300,64,20,106,0.019584802193497845,1.0,0.546875
32,300,64,20,106,0.019584802193497845,1.0,0.453125
32,300,64,20,106,0.019584802193497845,1.0,0.5625
32,300,64,20,106,0.019584802193497845,1.0,0.484375
32,300,64,20,106,0.019584802193497845,1.0,0.546875
32,300,64,20,106,0.019584802193497845,1.0,0.453125
32,300,64,20,106,0.019584802193497845,1.0,0.484375
32,300,64,20,106,0.019584802193497845,1.0,0.5625
32,300,64,20,106,0.019584802193497845,1.0,0.515625
32,300,64,20,106,0.019584802193497845,1.0,0.484375
32,300,64,20,106,0.019584802193497845,1.0,0.5
32,300,64,20,106,0.019584802193497845,1.0,0.328125
32,300,64,20,107,0.01947463768115942,1.0,0.453125
32,300,64,20,107,0.01947463768115942,1.0,0.5
32,300,64,20,107,0.01947463768115942,1.0,0.484375
32,300,64,20,107,0.01947463768115942,1.0,0.578125
32,300,64,20,107,0.01947463768115942,1.0,0.46875
32,300,64,20,107,0.01947463768115942,1.0,0.578125
32,300,64,20,107,0.01947463768115942,1.0,0.421875
32,300,64,20,107,0.01947463768115942,1.0,0.5
32,300,64,20,107,0.01947463768115942,1.0,0.53125
32,300,64,20,107,0.01947463768115942,1.0,0.53125
32,300,64,20,107,0.01947463768115942,1.0,0.625
32,300,64,20,107,0.01947463768115942,1.0,0.46875
32,300,64,20,107,0.01947463768115942,1.0,0.4375
32,300,64,20,107,0.01947463768115942,1.0,0.5625
32,300,64,20,107,0.01947463768115942,1.0,0.421875
32,300,64,20,107,0.01947463768115942,1.0,0.4375
32,300,64,20,107,0.01947463768115942,1.0,0.421875
32,300,64,20,107,0.01947463768115942,1.0,0.421875
32,300,64,20,107,0.01947463768115942,1.0,0.46875
32,300,64,20,108,0.021665538253215978,1.0,0.53125
32,300,64,20,108,0.021665538253215978,1.0,0.546875
32,300,64,20,108,0.021665538253215978,1.0,0.609375
32,300,64,20,108,0.021665538253215978,1.0,0.5625
32,300,64,20,108,0.021665538253215978,1.0,0.5
32,300,64,20,108,0.021665538253215978,1.0,0.609375
32,300,64,20,108,0.021665538253215978,1.0,0.4375
32,300,64,20,108,0.021665538253215978,1.0,0.46875
32,300,64,20,108,0.021665538253215978,1.0,0.546875
32,300,64,20,108,0.021665538253215978,1.0,0.515625
32,300,64,20,108,0.021665538253215978,1.0,0.515625
32,300,64,20,108,0.021665538253215978,1.0,0.484375
32,300,64,20,108,0.021665538253215978,1.0,0.46875
32,300,64,20,108,0.021665538253215978,1.0,0.5
32,300,64,20,108,0.021665538253215978,1.0,0.53125
32,300,64,20,108,0.021665538253215978,1.0,0.5625
32,300,64,20,108,0.021665538253215978,1.0,0.46875
32,300,64,20,108,0.021665538253215978,1.0,0.53125
32,300,64,20,108,0.021665538253215978,1.0,0.484375
32,300,64,20,109,0.018008474576271187,1.0,0.421875
32,300,64,20,109,0.018008474576271187,1.0,0.484375
32,300,64,20,109,0.018008474576271187,1.0,0.59375
32,300,64,20,109,0.018008474576271187,1.0,0.5
32,300,64,20,109,0.018008474576271187,1.0,0.578125
32,300,64,20,109,0.018008474576271187,1.0,0.5
32,300,64,20,109,0.018008474576271187,1.0,0.5625
32,300,64,20,109,0.018008474576271187,1.0,0.484375
32,300,64,20,109,0.018008474576271187,1.0,0.4375
32,300,64,20,109,0.018008474576271187,1.0,0.578125
32,300,64,20,109,0.018008474576271187,1.0,0.546875
32,300,64,20,109,0.018008474576271187,1.0,0.5
32,300,64,20,109,0.018008474576271187,1.0,0.46875
32,300,64,20,109,0.018008474576271187,1.0,0.53125
32,300,64,20,109,0.018008474576271187,1.0,0.65625
32,300,64,20,109,0.018008474576271187,1.0,0.515625
32,300,64,20,109,0.018008474576271187,1.0,0.484375
32,300,64,20,109,0.018008474576271187,1.0,0.53125
32,300,64,20,109,0.018008474576271187,1.0,0.578125
32,300,128,20,100,0.013903299439717784,1.0,0.484375
32,300,128,20,100,0.013903299439717784,1.0,0.5234375
32,300,128,20,100,0.013903299439717784,1.0,0.546875
32,300,128,20,100,0.013903299439717784,1.0,0.4765625
32,300,128,20,100,0.013903299439717784,1.0,0.5
32,300,128,20,100,0.013903299439717784,1.0,0.46875
32,300,128,20,100,0.013903299439717784,1.0,0.4921875
32,300,128,20,100,0.013903299439717784,1.0,0.4609375
32,300,128,20,100,0.013903299439717784,1.0,0.5
32,300,128,20,100,0.013903299439717784,1.0,0.484375
32,300,128,20,100,0.013903299439717784,1.0,0.4609375
32,300,128,20,100,0.013903299439717784,1.0,0.4375
32,300,128,20,100,0.013903299439717784,1.0,0.5078125
32,300,128,20,100,0.013903299439717784,1.0,0.515625
32,300,128,20,100,0.013903299439717784,1.0,0.5859375
32,300,128,20,100,0.013903299439717784,1.0,0.4375
32,300,128,20,100,0.013903299439717784,1.0,0.4453125
32,300,128,20,100,0.013903299439717784,1.0,0.4765625
32,300,128,20,100,0.013903299439717784,1.0,0.484375
32,300,128,20,101,0.01237842617152962,1.0,0.4765625
32,300,128,20,101,0.01237842617152962,1.0,0.5078125
32,300,128,20,101,0.01237842617152962,1.0,0.4375
32,300,128,20,101,0.01237842617152962,1.0,0.5
32,300,128,20,101,0.01237842617152962,1.0,0.4453125
32,300,128,20,101,0.01237842617152962,1.0,0.5
32,300,128,20,101,0.01237842617152962,1.0,0.5
32,300,128,20,101,0.01237842617152962,1.0,0.5546875
32,300,128,20,101,0.01237842617152962,1.0,0.625
32,300,128,20,101,0.01237842617152962,1.0,0.5625
32,300,128,20,101,0.01237842617152962,1.0,0.5546875
32,300,128,20,101,0.01237842617152962,1.0,0.5078125
32,300,128,20,101,0.01237842617152962,1.0,0.5
32,300,128,20,101,0.01237842617152962,1.0,0.5078125
32,300,128,20,101,0.01237842617152962,1.0,0.484375
32,300,128,20,101,0.01237842617152962,1.0,0.6015625
32,300,128,20,101,0.01237842617152962,1.0,0.4375
32,300,128,20,101,0.01237842617152962,1.0,0.5390625
32,300,128,20,101,0.01237842617152962,1.0,0.46875
32,300,128,20,102,0.012859633827375762,1.0,0.546875
32,300,128,20,102,0.012859633827375762,1.0,0.5390625
32,300,128,20,102,0.012859633827375762,1.0,0.515625
32,300,128,20,102,0.012859633827375762,1.0,0.5
32,300,128,20,102,0.012859633827375762,1.0,0.4375
32,300,128,20,102,0.012859633827375762,1.0,0.4453125
32,300,128,20,102,0.012859633827375762,1.0,0.5703125
32,300,128,20,102,0.012859633827375762,1.0,0.46875
32,300,128,20,102,0.012859633827375762,1.0,0.5234375
32,300,128,20,102,0.012859633827375762,1.0,0.546875
32,300,128,20,102,0.012859633827375762,1.0,0.5234375
32,300,128,20,102,0.012859633827375762,1.0,0.4609375
32,300,128,20,102,0.012859633827375762,1.0,0.5078125
32,300,128,20,102,0.012859633827375762,1.0,0.5546875
32,300,128,20,102,0.012859633827375762,1.0,0.5546875
32,300,128,20,102,0.012859633827375762,1.0,0.453125
32,300,128,20,102,0.012859633827375762,1.0,0.5703125
32,300,128,20,102,0.012859633827375762,1.0,0.53125
32,300,128,20,102,0.012859633827375762,1.0,0.46875
32,300,128,20,103,0.013196480938416423,1.0,0.546875
32,300,128,20,103,0.013196480938416423,1.0,0.5234375
32,300,128,20,103,0.013196480938416423,1.0,0.5
32,300,128,20,103,0.013196480938416423,1.0,0.5546875
32,300,128,20,103,0.013196480938416423,1.0,0.4765625
32,300,128,20,103,0.013196480938416423,1.0,0.515625
32,300,128,20,103,0.013196480938416423,1.0,0.546875
32,300,128,20,103,0.013196480938416423,1.0,0.5390625
32,300,128,20,103,0.013196480938416423,1.0,0.515625
32,300,128,20,103,0.013196480938416423,1.0,0.5859375
32,300,128,20,103,0.013196480938416423,1.0,0.53125
32,300,128,20,103,0.013196480938416423,1.0,0.4296875
32,300,128,20,103,0.013196480938416423,1.0,0.5078125
32,300,128,20,103,0.013196480938416423,1.0,0.6015625
32,300,128,20,103,0.013196480938416423,1.0,0.46875
32,300,128,20,103,0.013196480938416423,1.0,0.5625
32,300,128,20,103,0.013196480938416423,1.0,0.4453125
32,300,128,20,103,0.013196480938416423,1.0,0.484375
32,300,128,20,103,0.013196480938416423,1.0,0.46875
32,300,128,20,104,0.011472275334608031,1.0,0.4765625
32,300,128,20,104,0.011472275334608031,1.0,0.4375
32,300,128,20,104,0.011472275334608031,1.0,0.5078125
32,300,128,20,104,0.011472275334608031,1.0,0.5859375
32,300,128,20,104,0.011472275334608031,1.0,0.53125
32,300,128,20,104,0.011472275334608031,1.0,0.4765625
32,300,128,20,104,0.011472275334608031,1.0,0.5078125
32,300,128,20,104,0.011472275334608031,1.0,0.5625
32,300,128,20,104,0.011472275334608031,1.0,0.515625
32,300,128,20,104,0.011472275334608031,1.0,0.4375
32,300,128,20,104,0.011472275334608031,1.0,0.515625
32,300,128,20,104,0.011472275334608031,1.0,0.5234375
32,300,128,20,104,0.011472275334608031,1.0,0.453125
32,300,128,20,104,0.011472275334608031,1.0,0.484375
32,300,128,20,104,0.011472275334608031,1.0,0.5078125
32,300,128,20,104,0.011472275334608031,1.0,0.4609375
32,300,128,20,104,0.011472275334608031,1.0,0.5625
32,300,128,20,104,0.011472275334608031,1.0,0.5
32,300,128,20,104,0.011472275334608031,1.0,0.515625
32,300,128,20,105,0.014618434093161546,1.0,0.421875
32,300,128,20,105,0.014618434093161546,1.0,0.5
32,300,128,20,105,0.014618434093161546,1.0,0.609375
32,300,128,20,105,0.014618434093161546,1.0,0.4609375
32,300,128,20,105,0.014618434093161546,1.0,0.515625
32,300,128,20,105,0.014618434093161546,1.0,0.46875
32,300,128,20,105,0.014618434093161546,1.0,0.421875
32,300,128,20,105,0.014618434093161546,1.0,0.546875
32,300,128,20,105,0.014618434093161546,1.0,0.515625
32,300,128,20,105,0.014618434093161546,1.0,0.4921875
32,300,128,20,105,0.014618434093161546,1.0,0.4140625
32,300,128,20,105,0.014618434093161546,1.0,0.4609375
32,300,128,20,105,0.014618434093161546,1.0,0.4453125
32,300,128,20,105,0.014618434093161546,1.0,0.59375
32,300,128,20,105,0.014618434093161546,1.0,0.484375
32,300,128,20,105,0.014618434093161546,1.0,0.5390625
32,300,128,20,105,0.014618434093161546,1.0,0.5
32,300,128,20,105,0.014618434093161546,1.0,0.453125
32,300,128,20,105,0.014618434093161546,1.0,0.4921875
32,300,128,20,106,0.011179307321350284,0.9921875,0.4765625
32,300,128,20,106,0.011179307321350284,0.9921875,0.484375
32,300,128,20,106,0.011179307321350284,0.9921875,0.46875
32,300,128,20,106,0.011179307321350284,0.9921875,0.515625
32,300,128,20,106,0.011179307321350284,0.9921875,0.4609375
32,300,128,20,106,0.011179307321350284,0.9921875,0.4453125
32,300,128,20,106,0.011179307321350284,0.9921875,0.546875
32,300,128,20,106,0.011179307321350284,0.9921875,0.5390625
32,300,128,20,106,0.011179307321350284,0.9921875,0.453125
32,300,128,20,106,0.011179307321350284,0.9921875,0.515625
32,300,128,20,106,0.011179307321350284,0.9921875,0.5703125
32,300,128,20,106,0.011179307321350284,0.9921875,0.515625
32,300,128,20,106,0.011179307321350284,0.9921875,0.4453125
32,300,128,20,106,0.011179307321350284,0.9921875,0.53125
32,300,128,20,106,0.011179307321350284,0.9921875,0.5703125
32,300,128,20,106,0.011179307321350284,0.9921875,0.5
32,300,128,20,106,0.011179307321350284,0.9921875,0.515625
32,300,128,20,106,0.011179307321350284,0.9921875,0.4765625
32,300,128,20,106,0.011179307321350284,0.9921875,0.5234375
32,300,128,20,107,0.01122394441475147,1.0,0.5
32,300,128,20,107,0.01122394441475147,1.0,0.515625
32,300,128,20,107,0.01122394441475147,1.0,0.6171875
32,300,128,20,107,0.01122394441475147,1.0,0.546875
32,300,128,20,107,0.01122394441475147,1.0,0.4296875
32,300,128,20,107,0.01122394441475147,1.0,0.4609375
32,300,128,20,107,0.01122394441475147,1.0,0.5234375
32,300,128,20,107,0.01122394441475147,1.0,0.5546875
32,300,128,20,107,0.01122394441475147,1.0,0.5234375
32,300,128,20,107,0.01122394441475147,1.0,0.453125
32,300,128,20,107,0.01122394441475147,1.0,0.5234375
32,300,128,20,107,0.01122394441475147,1.0,0.5
32,300,128,20,107,0.01122394441475147,1.0,0.578125
32,300,128,20,107,0.01122394441475147,1.0,0.5546875
32,300,128,20,107,0.01122394441475147,1.0,0.515625
32,300,128,20,107,0.01122394441475147,1.0,0.4765625
32,300,128,20,107,0.01122394441475147,1.0,0.4609375
32,300,128,20,107,0.01122394441475147,1.0,0.4453125
32,300,128,20,107,0.01122394441475147,1.0,0.5625
32,300,128,20,108,0.012743926722421346,0.984375,0.5078125
32,300,128,20,108,0.012743926722421346,0.984375,0.6015625
32,300,128,20,108,0.012743926722421346,0.984375,0.5625
32,300,128,20,108,0.012743926722421346,0.984375,0.515625
32,300,128,20,108,0.012743926722421346,0.984375,0.4375
32,300,128,20,108,0.012743926722421346,0.984375,0.4765625
32,300,128,20,108,0.012743926722421346,0.984375,0.5234375
32,300,128,20,108,0.012743926722421346,0.984375,0.515625
32,300,128,20,108,0.012743926722421346,0.984375,0.5546875
32,300,128,20,108,0.012743926722421346,0.984375,0.4765625
32,300,128,20,108,0.012743926722421346,0.984375,0.5
32,300,128,20,108,0.012743926722421346,0.984375,0.484375
32,300,128,20,108,0.012743926722421346,0.984375,0.4609375
32,300,128,20,108,0.012743926722421346,0.984375,0.5546875
32,300,128,20,108,0.012743926722421346,0.984375,0.5
32,300,128,20,108,0.012743926722421346,0.984375,0.53125
32,300,128,20,108,0.012743926722421346,0.984375,0.5
32,300,128,20,108,0.012743926722421346,0.984375,0.5625
32,300,128,20,108,0.012743926722421346,0.984375,0.40625
32,300,128,20,109,0.01304244723737254,0.9921875,0.4453125
32,300,128,20,109,0.01304244723737254,0.9921875,0.5
32,300,128,20,109,0.01304244723737254,0.9921875,0.4921875
32,300,128,20,109,0.01304244723737254,0.9921875,0.4921875
32,300,128,20,109,0.01304244723737254,0.9921875,0.4375
32,300,128,20,109,0.01304244723737254,0.9921875,0.515625
32,300,128,20,109,0.01304244723737254,0.9921875,0.5234375
32,300,128,20,109,0.01304244723737254,0.9921875,0.53125
32,300,128,20,109,0.01304244723737254,0.9921875,0.4453125
32,300,128,20,109,0.01304244723737254,0.9921875,0.4921875
32,300,128,20,109,0.01304244723737254,0.9921875,0.4453125
32,300,128,20,109,0.01304244723737254,0.9921875,0.515625
32,300,128,20,109,0.01304244723737254,0.9921875,0.5
32,300,128,20,109,0.01304244723737254,0.9921875,0.4453125
32,300,128,20,109,0.01304244723737254,0.9921875,0.4921875
32,300,128,20,109,0.01304244723737254,0.9921875,0.5390625
32,300,128,20,109,0.01304244723737254,0.9921875,0.484375
32,300,128,20,109,0.01304244723737254,0.9921875,0.5
32,300,128,20,109,0.01304244723737254,0.9921875,0.4765625
